"","response_id","payment_if","don_river","don_guide_dogs"
"1","R_0e4XLCST6hskSTT",45,5,0
"2","R_0uBDEHhm7LB2D6N",50,0,0
"3","R_10UWF90nQUVWfKj",50,0,0
"4","R_11aRpfDDQ6Z6luC",25,25,0
"5","R_11hZlfMkFMf9xzD",26,0,24
"6","R_11WVWgg12Z9YMvm",45,0,5
"7","R_12M5sa0N8MS3kb1",50,0,0
"8","R_12m9f5YvtdlwLUM",50,0,0
"9","R_1C7ELh8xIexPTSV",20,30,0
"10","R_1CanD2v3KFvayr0",50,0,0
"11","R_1CjT7ASI8HvkAlR",50,0,0
"12","R_1CKqbNN8LjVDvHc",25,0,25
"13","R_1cRE2Ez9eHm3th7",45,0,5
"14","R_1Cv98Re6CUyhCXZ",50,0,0
"15","R_1dbt1qO7qR8HjQC",43,0,7
"16","R_1DGYWDkkm5L5rKM",50,0,0
"17","R_1dH45FCgJwjRJ25",25,25,0
"18","R_1DMbNHapGqyhd31",50,0,0
"19","R_1DooVne7atAX2JC",0,50,0
"20","R_1dphu4z5MEE822J",50,0,0
"21","R_1dpnm6SH3cyPPnd",50,0,0
"22","R_1DtzCNLLuNdr6fF",50,0,0
"23","R_1DUAQXafE8QvHgc",40,10,0
"24","R_1DZvpSzJtvpu4Vj",0,0,50
"25","R_1E03y7cK6zRIjVd",25,25,0
"26","R_1EiWB7btFZxiFez",40,10,0
"27","R_1eQ4HAmQCkoAxiE",50,0,0
"28","R_1fdyX5RCfa58vZi",50,0,0
"29","R_1FOMZiI2ZtVQuGA",48,2,0
"30","R_1FrEu09nN9WDfwi",50,0,0
"31","R_1fZ2zAhy6YV9Xii",50,0,0
"32","R_1g1RWUgzkKSW3NC",50,0,0
"33","R_1ghjqLZvmd7f48F",50,0,0
"34","R_1Gv2ptXWk8BU05m",43,0,7
"35","R_1GwErlyPa5Wlmvu",50,0,0
"36","R_1gwM2WB2le3aUJO",25,25,0
"37","R_1GxDCB9fclF0WcN",50,0,0
"38","R_1GZHOqrG2qEFhEC",20,0,30
"39","R_1GZxENEwZTcneH3",50,0,0
"40","R_1HbHhsvRLdihCUx",50,0,0
"41","R_1HcqAseSUXYfwWu",50,0,0
"42","R_1Hkn6w1P86AsxhX",50,0,0
"43","R_1hY0dz79VJXsLeD",50,0,0
"44","R_1i2SDJtWDgVJ7Bs",48,2,0
"45","R_1ib82TZriiPp1FB",50,0,0
"46","R_1Ico8YFMo6LOENx",50,0,0
"47","R_1IjPsK6N0gARhkJ",50,0,0
"48","R_1ILCO73MwN7elEp",0,50,0
"49","R_1IoYgwlVjCzVYte",50,0,0
"50","R_1IRSSo1jFxRg6Jb",49,1,0
"51","R_1jjGJPvif7mnmfw",50,0,0
"52","R_1jlwVGQVbwcbWNj",50,0,0
"53","R_1jpSeukTU1FAtcj",30,20,0
"54","R_1jUGjh2ilfYpgiy",0,50,0
"55","R_1kGqmFuqCuJy4yF",25,0,25
"56","R_1Kv5YjrLaSmOIQp",45,0,5
"57","R_1lbfBGOts1F0Soz",50,0,0
"58","R_1lcbM0B60jFhgwb",50,0,0
"59","R_1LLhPbhtpKO4WMX",50,0,0
"60","R_1LtBQSUpRmEE7gR",50,0,0
"61","R_1ltuIdTNSpAtbaR",50,0,0
"62","R_1LutiOSXgVFQfMY",40,10,0
"63","R_1M3XxPkN4w9GCBq",50,0,0
"64","R_1MoNiaU5V8a8zrH",50,0,0
"65","R_1myN1wjn23jAb7R",50,0,0
"66","R_1n1lpZLToWNhFVK",50,0,0
"67","R_1NkpMzlQEw1162n",40,10,0
"68","R_1o1EUkkqZxqcGNU",20,30,0
"69","R_1OAXp5gizHgrJOx",40,10,0
"70","R_1OIev4S6dVoa2JG",50,0,0
"71","R_1OlSwfkKJA73Nif",50,0,0
"72","R_1opd3jfPvV5AMkd",50,0,0
"73","R_1Oqa69hkk5rEAiE",50,0,0
"74","R_1ozJ9W0LVLGNruQ",25,0,25
"75","R_1OZVVA762n4yWer",50,0,0
"76","R_1P0i4Zr4yohaAhv",50,0,0
"77","R_1P6jGlXPdFeKxS2",0,50,0
"78","R_1Pc9SSTO0s6aI6f",49,0,1
"79","R_1pEXvAKt6BUO1cA",40,10,0
"80","R_1PSJdSAmca21wDy",50,0,0
"81","R_1ptfuujgiRon5ja",25,25,0
"82","R_1pXOJDASidhfBkF",44,6,0
"83","R_1q24bDidzJypZnA",50,0,0
"84","R_1q4mwxFULLGX2be",50,0,0
"85","R_1Qc1xDToaWU19OC",0,50,0
"86","R_1Qi71os6LIBw0Bk",50,0,0
"87","R_1QKon34fqtSEalC",50,0,0
"88","R_1Qu7Mq959vcDEyZ",0,50,0
"89","R_1rGu0SCwj8mmwM2",32,18,0
"90","R_1rH28T3LhSJpRm7",50,0,0
"91","R_214a1HYCxsOhW8f",50,0,0
"92","R_21589dePr2jKG54",0,0,50
"93","R_21Euak4lq3XGxzf",50,0,0
"94","R_21GMHTEk1g0KkBo",50,0,0
"95","R_21HzWcz69bUB25A",50,0,0
"96","R_21I0sGA2FlRJnyU",40,10,0
"97","R_21uDZixGL9djhm1",0,50,0
"98","R_22yKFQabhCwSIgB",50,0,0
"99","R_239Ti73BVNh8ud8",10,40,0
"100","R_23Wa3Df3eX59Xpx",50,0,0
"101","R_245FPMY9tr4tZjX",50,0,0
"102","R_247aUojImznqt7U",50,0,0
"103","R_24Ad9PRvxnEnKh3",25,0,25
"104","R_24C7iqxkj0yNUxq",25,25,0
"105","R_24tKXfNAeDUiv2X",0,50,0
"106","R_25BIrmk0qOSYU6Y",35,15,0
"107","R_25KKKeu259v6uLG",46,0,4
"108","R_25QNEs89Oui3u0R",25,0,25
"109","R_26mN4eZwiqMdrDd",35,0,15
"110","R_27BT9QGdreULrTq",50,0,0
"111","R_27mtOUK8ZzM5sfX",44,6,0
"112","R_28CjC27gnik3yuK",45,0,5
"113","R_28H5tJy4kgfymSR",50,0,0
"114","R_28InqkNLFBJ7OP2",40,10,0
"115","R_29mOMnwNjQGTjyn",47,0,3
"116","R_29oCzQvFDVdwvhV",45,5,0
"117","R_2A0EWIE4P8kjBpc",50,0,0
"118","R_2aCWNUrATxF5aBx",50,0,0
"119","R_2aOZ6R5KgkyAfK4",50,0,0
"120","R_2aqUtAJkJZU0OUG",50,0,0
"121","R_2aruIYFbRihzsF6",45,5,0
"122","R_2aVqqbvSUPPhYyu",25,0,25
"123","R_2aWgWT7H3nfYaBs",35,0,15
"124","R_2aWiox1tJc2Vrl4",50,0,0
"125","R_2AYboeh7jzSkJmQ",50,0,0
"126","R_2B2wrlNuz7e9pqf",50,0,0
"127","R_2Bb4EVvsWlC3Dlr",45,5,0
"128","R_2bI8DEvYr7SlpLH",45,5,0
"129","R_2Bu0aL53we0slkq",45,0,5
"130","R_2BzcmTP1Ibmg1fS",40,10,0
"131","R_2c7oEXjWa4APfPX",50,0,0
"132","R_2cbTSpShMYyAzvN",50,0,0
"133","R_2ClbX9I0Ug22DSA",44,0,6
"134","R_2CNbEpOU57wleI2",40,0,10
"135","R_2CrdijV9nLrnZ9E",50,0,0
"136","R_2CV1NJO2cvvZhPL",50,0,0
"137","R_2dA1ILzqonxH3Hz",50,0,0
"138","R_2dgNWiGmcphxch9",25,25,0
"139","R_2dMEwnaE2EE3FY2",25,25,0
"140","R_2DP5LhIUlF9JNox",41,0,9
"141","R_2dXtgC4MJTlkEVb",40,10,0
"142","R_2E4bU76bm53MYqc",50,0,0
"143","R_2e8cZB1qtQFA4m6",0,50,0
"144","R_2e9KAwxVJpLncCs",50,0,0
"145","R_2EaQCK5ugLi74dX",23,0,27
"146","R_2EEJts6KXWP4Uc0",50,0,0
"147","R_2EHriFIqKHvCioC",0,50,0
"148","R_2eOR1vFBxegw2tw",40,0,10
"149","R_2f3OuA12DVdyh9a",30,20,0
"150","R_2P4BDfwO3S1x5rt",20,30,0
"151","R_2PioOdelnRiK8xQ",25,25,0
"152","R_2PkdvjRCvvIZR4e",50,0,0
"153","R_2pKpdkH44jpmpmM",20,30,0
"154","R_2PuKjQ9r6vQuS73",50,0,0
"155","R_2q3iO8w6jNO7u25",35,0,15
"156","R_2qBHnFqrZBHg8Hz",50,0,0
"157","R_2qDBuLQHiJaqpkK",40,10,0
"158","R_2QDvtPJU2W0nttA",50,0,0
"159","R_2qlslJv4KueJgPH",0,0,50
"160","R_2QnTLpPDSBWYAh6",25,25,0
"161","R_2QQKr6qtr4WkkoB",50,0,0
"162","R_2QWzSWWXFr7GGO3",50,0,0
"163","R_2Qy66QiwwV5T0VH",50,0,0
"164","R_2R9vOWi9THQtXR3",48,2,0
"165","R_2rBfiCXE3655goV",49,1,0
"166","R_2riuzlecLCO0jK2",40,10,0
"167","R_2rOtUdGUQrJVtb5",25,25,0
"168","R_2S63ug3WhJCABpE",50,0,0
"169","R_2S9pUJOh6R2hCSf",50,0,0
"170","R_2SC84UJhI9GtUkB",50,0,0
"171","R_2SHukWlHsbimLtv",43,7,0
"172","R_2SjF2Lq2j8SyhcZ",50,0,0
"173","R_2sROf2G0yZoxwuz",45,0,5
"174","R_2sSlXWBeVte4G71",40,0,10
"175","R_2SukLXKMxRuBzvY",50,0,0
"176","R_2thU4lhxNPPP39d",42,8,0
"177","R_2tL0e0zeyV8vTT0",40,0,10
"178","R_2tLJzQzBK9VUthe",40,0,10
"179","R_2tLSAzeD8kcAbf3",11,39,0
"180","R_2TtInCVKcSTLjMY",50,0,0
"181","R_2U3MFR1arrYv0ty",50,0,0
"182","R_2U43iKGcGioV2l8",39,11,0
"183","R_2uOE5F0jRjPaC64",50,0,0
"184","R_2uqcr1vqIDjmzEg",50,0,0
"185","R_2V3axrKRHDG5RQk",44,6,0
"186","R_2VegM5vXjNteene",40,10,0
"187","R_2VHNN15IJW7mHU1",50,0,0
"188","R_2vj1hl6uqKoO1an",50,0,0
"189","R_2vkP0ydr3ckpfgR",45,0,5
"190","R_2VOU6uacwMWrf1C",0,0,50
"191","R_2wSmAQ8AF9YOziw",25,0,25
"192","R_2WSYYgCn6IBLK6L",50,0,0
"193","R_2WTZI5mTmxMAktg",30,20,0
"194","R_2wzr1VNZZkHLj9Q",50,0,0
"195","R_2Yc93S510KcT3xq",49,1,0
"196","R_2YgiQP8t7VD1h1s",50,0,0
"197","R_2YPsTfWS6igCRvj",40,0,10
"198","R_2zAWAzQen2gcw4H",40,10,0
"199","R_2ZIbDGCVRn2HY9u",35,0,15
"200","R_2zO9kFTWbxQTPGn",0,50,0
"201","R_302HQPwzLQILvlF",47,0,3
"202","R_30hI3JkcXO74n0Q",25,0,25
"203","R_31BJ86nOQt0GmLP",50,0,0
"204","R_331FXA2ASjwXvBG",50,0,0
"205","R_33d9a0qperWODwX",50,0,0
"206","R_33DeRACnO2qANAM",50,0,0
"207","R_33yg29PpowSm7kj",25,25,0
"208","R_3CNjctV7So6me9W",50,0,0
"209","R_3CTs2LqiPuxSswP",35,15,0
"210","R_3DedGjKWfg0klBE",45,5,0
"211","R_3dFed3wwTcv4eSc",40,10,0
"212","R_3dR2IJxVShZ10u0",50,0,0
"213","R_3dWB4V4mB6rGLv8",50,0,0
"214","R_3dZdopDECoyYyGu",40,10,0
"215","R_3Ea49C6FmnAUtgW",50,0,0
"216","R_3ek8cTWw5OUbtv0",36,0,14
"217","R_3elecK6vwtF73iH",47,3,0
"218","R_3EumZ1o7lmx5eC4",50,0,0
"219","R_3F57ssrc9ni6vdY",50,0,0
"220","R_3FLh0UdY4yaC9Be",0,0,50
"221","R_3foTVkXoYGvMG9o",50,0,0
"222","R_3fowGAOTv1k0aOU",25,25,0
"223","R_3fPpHXr64EQWNuX",50,0,0
"224","R_3FQBgQpf1b1dxcC",50,0,0
"225","R_3GkP5IXEpRvxuoR",40,10,0
"226","R_3gLuBG14sxNEV2u",45,5,0
"227","R_3gMjMxPtrzaqgYy",40,0,10
"228","R_3gZ5KsrR6lqE7k7",45,5,0
"229","R_3HoZFfcl6f2EsHr",25,25,0
"230","R_3hsARtaJv3pAS1b",50,0,0
"231","R_3HUJ5ukDBqv6Ci3",50,0,0
"232","R_3hzKk3pH0DxDGNo",45,5,0
"233","R_3I6vtYujLv3bDjr",50,0,0
"234","R_3Ia5NoWxAvqz4Kc",30,20,0
"235","R_3Ical6p0GSTWIkS",40,0,10
"236","R_3iUwvQk4uHGH8vk",50,0,0
"237","R_3J8yQGolbS2o1Yl",45,5,0
"238","R_3j9Hf2SMHcMwmC8",46,0,4
"239","R_3JFBvpfUXsbvAR2",25,0,25
"240","R_3JrrL3XcsWlFvAO",40,0,10
"241","R_3JyGzal8WxhkM8y",50,0,0
"242","R_3jYW0J6Q9ZMhWTL",40,10,0
"243","R_3kiFMFAwa8gxHU7",20,30,0
"244","R_3KpSMMgte9EMVna",50,0,0
"245","R_3KSC9noIIDvpVS7",43,7,0
"246","R_3KvAslRbZe2LNyY",50,0,0
"247","R_3Kx9rkdDlQotIgG",35,15,0
"248","R_3Lbf1oWAav2P4rP",25,25,0
"249","R_3lVv3ltcTfsIcaN",50,0,0
"250","R_3lXIFiTAtMxPPed",50,0,0
"251","R_3lxWlXzO9CN0vrt",20,0,30
"252","R_3M3BNcn09bVODMY",50,0,0
"253","R_3m3ufjM4QuWndK9",50,0,0
"254","R_3M4IQ4Rwuze57p3",40,0,10
"255","R_3M6w5NlSq6Y34bS",47,3,0
"256","R_3m8o1Qz39zg5qUN",25,25,0
"257","R_3MESQRfxQaXWPDa",45,0,5
"258","R_3MfBwhXcG6QpnhW",40,0,10
"259","R_3MfW8zeDQ2KzPn2",30,0,20
"260","R_3MKc5Q60DNPx2N5",40,0,10
"261","R_3MlkLkzy8owGgjF",50,0,0
"262","R_3Mn81NftsOAgUsI",50,0,0
"263","R_3Mrm05MWhUQGk3d",25,25,0
"264","R_3MSyGERaWcnrzC0",13,0,37
"265","R_3MurSG4qWuedxc6",50,0,0
"266","R_3MzdMwi5Kcr9RQc",50,0,0
"267","R_3NFlJmBJeCkznGd",46,0,4
"268","R_3nJzs3rGt2cNwuX",50,0,0
"269","R_3nMHP8lYobW3n6d",50,0,0
"270","R_3nMzdXZ8D9fSj7L",50,0,0
"271","R_3NPNnOVClncwJRG",30,20,0
"272","R_3NPs7NNzRsUp5mp",42,0,8
"273","R_3nSlGxEsLYgxiMn",40,10,0
"274","R_3NUowB4ASMjsyo6",30,0,20
"275","R_3oAx1qk7lwG7PtA",25,25,0
"276","R_3oBmZlk4j0XaW1P",45,5,0
"277","R_3p4RhBI84Zd52KZ",50,0,0
"278","R_3p5WAstmoVi0ONd",50,0,0
"279","R_3Pc4LjRoXVvQAGM",32,18,0
"280","R_3PiARfepV2leyXC",50,0,0
"281","R_3Pj0F3zfp0XUKwE",0,0,50
"282","R_3PMjeHU1IY5acSc",50,0,0
"283","R_3PMPe6YEaZYNUlg",49,0,1
"284","R_3PmXsp9dtkoJiMw",25,25,0
"285","R_3PoueWrtJLGxR8k",50,0,0
"286","R_3prrZZNdik42Deb",50,0,0
"287","R_3PSiK6gu75iGdE0",25,0,25
"288","R_3Pt6VLrLFhBWFYR",47,0,3
"289","R_3QPIN9p2hNVxcTT",45,0,5
"290","R_3qUrrkXV2Gca3MW",46,0,4
"291","R_3r0bw21H3viRphD",50,0,0
"292","R_3rPvqDd7LZBpmAF",30,20,0
"293","R_3Rw0K1KCtLyL6j9",40,10,0
"294","R_3RxUghUCNaRrzOD",50,0,0
"295","R_3s00gckCIr9bHXL",40,10,0
"296","R_3s08o3aDxVRxi7z",50,0,0
"297","R_3sj2tMG9JGnBaqb",50,0,0
"298","R_4GT170JjbcTS5MJ",50,0,0
"299","R_4MdURLLa3MgQ8Sd",50,0,0
"300","R_4UvGGMpaSxbZkwF",50,0,0
"301","R_5mRwbDT7z1dPDe9",35,0,15
"302","R_5p6vegN5ruDmJa1",35,15,0
"303","R_6hbJ5LUiEPDYg81",45,0,5
"304","R_6mLAMBlmKEUMcYF",0,50,0
"305","R_6zKjr49LYnF1TXj",50,0,0
"306","R_7NDgSRSCS3blFaF",50,0,0
"307","R_81e0nN0eOCS3B3b",46,4,0
"308","R_879ynPLUIBbaPfP",50,0,0
"309","R_87U9ZzI6Y9YYc1P",50,0,0
"310","R_8v1u6eNpVZRhXPP",25,25,0
"311","R_9uYpgpyPGUKeNSp",45,5,0
"312","R_A05ThReJQF3PVXX",50,0,0
"313","R_a94YGmmnIdYJrA5",50,0,0
"314","R_abLP7txcdd3BqhP",25,25,0
"315","R_AGQSeWfSTMNa2k1",10,40,0
"316","R_ahjNAkfGiu6Uf3b",30,0,20
"317","R_AM0OcP4b0Uyx0nT",50,0,0
"318","R_AuO6KjQSbjoWlJn",50,0,0
"319","R_bCaVm0Rx3RDSCe5",30,20,0
"320","R_bITtJFf7cKuiclb",50,0,0
"321","R_bKS4Oi3ID7QK9ax",50,0,0
"322","R_bvg5KeXBN5jcCwp",50,0,0
"323","R_C2dnWcaaYEDz1ct",27,23,0
"324","R_C2nbngYgnuzoa7n",20,30,0
"325","R_C3706DglXSppfsl",50,0,0
"326","R_cSzeSIrEl7QJXlD",50,0,0
"327","R_D8f0B2900fgt3gZ",50,0,0
"328","R_D91XObqLxKbTbdn",48,0,2
"329","R_ddj8KihhC3585Yl",50,0,0
"330","R_DePAQY3ncZu33jj",45,5,0
"331","R_DGYTDS6HYGMHj4R",50,0,0
"332","R_DNxh6bL12BVrjFf",40,10,0
"333","R_ebavY6sUyvVTrHj",50,0,0
"334","R_eEslOFQR3xOhSbD",50,0,0
"335","R_eS7DgFRHYDaN46B",48,2,0
"336","R_O1Iii9nqL02hbwt",50,0,0
"337","R_O9dESIf1ICAZfoZ",40,10,0
"338","R_p6u6OYENhOYDnkB",30,0,20
"339","R_PAvDpTtrZfU8o3D",50,0,0
"340","R_PCHqmRzujQDCLWp",50,0,0
"341","R_pGzedD9d5sjbeBr",45,5,0
"342","R_pK5pVOkFuD1Op5D",44,6,0
"343","R_pmCodwlTOXGM8et",40,10,0
"344","R_Q3paDsZ89rVaYlX",45,0,5
"345","R_QcuqwdHFXADy3xT",50,0,0
"346","R_qOxfl8IZTGndEA1",30,0,20
"347","R_ReHscxVYIcweatz",50,0,0
"348","R_rlv09kBmmHdvCEx",50,0,0
"349","R_RODZV8ipqHQipQl",40,10,0
"350","R_RsfZEHX8mL2ZlpD",50,0,0
"351","R_sALoz86N1WAxndD",20,30,0
"352","R_sZOwkqDguVS7DGh",25,25,0
"353","R_SZrL2t2WiiuHRAd",23,0,27
"354","R_T5gbKEcNv4Mr45P",25,25,0
"355","R_tEuz3FER0r28KzL",50,0,0
"356","R_UAsM3sEPw9izK9j",30,20,0
"357","R_UbUfRBep30FiJe9",50,0,0
"358","R_uesb1Sya3mVNVeh",50,0,0
"359","R_uqOOt8SeH4xk2I1",50,0,0
"360","R_UtD8lsNOnCUGKLn",50,0,0
"361","R_vC8SAxsHqsPmr85",50,0,0
"362","R_vGJeyhGRFiDfsHf",50,0,0
"363","R_vHwJpEh1qvPcrND",25,25,0
"364","R_VORe7UyCReM2Mdb",30,20,0
"365","R_vqtNl2UVv8VS8Sd",50,0,0
"366","R_vUJbHFj4FYUmkiB",40,10,0
"367","R_Wdk2flUM1P7x985",46,0,4
"368","R_wMLnWXEX2XjElqN",50,0,0
"369","R_WqFWc2nrZx9uQyl",25,25,0
"370","R_XjktePD13qcXZ6h",40,10,0
"371","R_XMMahtX6ryULtPb",50,0,0
"372","R_XS9Jy5glZARU0eJ",30,20,0
"373","R_xtJcdxIMKIK0m8V",50,0,0
"374","R_XttHztI2B7qzepP",0,50,0
"375","R_Xz9aQNt2u7RmziV",50,0,0
"376","R_yTT7FK2qMm6WIg1",25,0,25
"377","R_yyTVd5mEgl8EFcR",50,0,0
"378","R_Z8iKawgjWR7C2E9",50,0,0
